generation,rank,individual_0,individual_1,fitness,p1_x,p1_y,p1_z,p2_x,p2_y,p2_z
81,1,1706051,216063,59,875312.16,5715373.18,158.85,875317.15,5715343.59,158.71
84,2,1706149,195994,59,875312.14,5715373.22,158.89000000000001,875317.2000000001,5715343.5,158.74
88,3,1706130,210808,59,875312.16,5715373.17,158.88,875317.16,5715343.55,158.69
92,4,1706219,197299,59,875312.17,5715373.14,158.85,875317.2000000001,5715343.53,158.64000000000001
95,5,1706351,199238,59,875312.17,5715373.17,158.85,875317.18,5715343.5200000005,158.71
95,6,1705807,214590,59,875312.17,5715373.14,158.78,875317.16,5715343.55,158.70000000000002
97,7,1693410,194867,59,875312.14,5715373.15,158.93,875317.18,5715343.53,158.70000000000002
97,8,1705547,216812,59,875312.18,5715373.12,158.84,875317.16,5715343.5200000005,158.73
98,9,1706351,214565,59,875312.17,5715373.17,158.85,875317.15,5715343.58,158.63
100,10,1705547,195521,59,875312.18,5715373.12,158.84,875317.1900000001,5715343.49,158.76
69,1,1706219,211183,58,875312.17,5715373.14,158.85,875317.03,5715343.95,158.79
77,2,1705807,215193,58,875312.17,5715373.14,158.78,875317.0800000001,5715343.850000001,158.61
79,3,1693410,210621,58,875312.14,5715373.15,158.93,875317.0800000001,5715343.8100000005,158.69
81,5,1693284,212127,58,875312.13,5715373.15,158.96,875317.09,5715343.82,158.64000000000001
83,6,1705547,210410,58,875312.18,5715373.12,158.84,875317.13,5715343.65,158.73
84,8,1706219,212686,58,875312.17,5715373.14,158.85,875317.06,5715343.95,158.65
86,9,1706351,211725,58,875312.17,5715373.17,158.85,875317.1,5715343.65,158.81
87,10,1693410,214004,58,875312.14,5715373.15,158.93,875317.0800000001,5715343.79,158.73
66,1,1706156,214094,57,875312.1,5715373.3,158.85,875317.12,5715343.67,158.68
70,3,1694066,215090,57,875312.02,5715373.3,158.98,875317.0700000001,5715343.69,158.83
